state,university.college,campus,student_enrollment,violent_crime,murder_and_nonnegligent_manslaughter,rape_revised_definition,rape_legacy_definition,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson
MISSOURI,Southeast Missouri State University,NA,12087,2,0,2,NA,0,0,26,5,19,2,0
MISSOURI,St. Charles Community College,NA,7153,0,0,0,NA,0,0,10,0,10,0,0
MISSOURI,St. Louis Community College:,Florissant Valley6,NA,0,0,0,NA,0,0,20,0,19,1,0
MISSOURI,St. Louis Community College:,Meramec,21218,1,0,0,NA,0,1,16,0,16,0,0
MISSOURI,Truman State University,NA,6248,0,0,0,NA,0,0,39,1,38,0,0
MISSOURI,University of Central Missouri,NA,13379,12,0,3,NA,3,6,140,10,122,8,1
MISSOURI,University of Missouri:,Columbia,35425,10,0,3,NA,2,5,271,7,255,9,0
MISSOURI,University of Missouri:,Kansas City,16146,6,0,0,NA,3,3,66,20,44,2,0
MISSOURI,University of Missouri:,St. Louis,17072,2,0,1,NA,0,1,61,5,54,2,0
MISSOURI,Washington University,NA,14348,0,0,0,NA,0,0,73,1,72,0,0
MONTANA,Montana State University,NA,14982,7,0,2,NA,0,5,165,5,155,5,4
MONTANA,University of Montana,NA,13952,2,0,0,NA,0,2,100,6,92,2,0
NEBRASKA,Metropolitan Community College,Douglas County,14675,2,0,NA,0,0,2,26,0,26,0,0
NEBRASKA,University of Nebraska,Kearney7,6902,2,0,2,NA,0,0,31,3,28,0,1
NEVADA,Truckee Meadows Community College,NA,11106,0,0,0,NA,0,0,15,1,14,0,0
NEVADA,University of Nevada:,Las Vegas,28515,17,0,6,NA,6,5,293,23,246,24,0
NEVADA,University of Nevada:,Reno,19934,4,0,1,NA,1,2,162,10,144,8,0
NEW HAMPSHIRE,University of New Hampshire,NA,15117,27,0,25,NA,0,2,125,9,113,3,2
NEW JERSEY7,Brookdale Community College,NA,14144,0,0,0,NA,0,0,27,0,26,1,0
NEW JERSEY7,Essex County College,NA,11468,3,0,0,NA,1,2,86,2,82,2,0
NEW JERSEY7,Kean University,NA,14359,3,0,1,NA,0,2,104,3,97,4,0
NEW JERSEY7,Middlesex County College,NA,12059,1,0,0,NA,0,1,29,0,29,0,0
NEW JERSEY7,Monmouth University,NA,6395,1,0,1,NA,0,0,30,1,29,0,0
NEW JERSEY7,Montclair State University,NA,20022,2,0,1,NA,0,1,117,10,107,0,0
NEW JERSEY7,New Jersey Institute of Technology,NA,10646,15,0,1,NA,10,4,104,2,91,11,0
NEW JERSEY7,Princeton University,NA,8088,1,0,0,NA,0,1,382,18,354,10,1
NEW JERSEY7,Rowan University,NA,14778,8,0,4,NA,0,4,137,17,120,0,0
NEW JERSEY7,Rutgers University:,Camden,6321,2,0,0,NA,2,0,65,2,63,0,0
NEW JERSEY7,Rutgers University:,Newark,11314,29,0,2,NA,24,3,256,0,253,3,0
NEW JERSEY7,Rutgers University:,New Brunswick,48378,33,0,10,NA,7,16,527,55,469,3,1
NEW JERSEY7,Stevens Institute of Technology,NA,6125,1,0,0,NA,0,1,34,2,32,0,0
NEW JERSEY7,Stockton University,NA,8570,1,0,1,NA,0,0,31,1,29,1,0
NEW JERSEY7,The College of New Jersey,NA,7409,3,0,3,NA,0,0,84,3,76,5,1
NEW JERSEY7,William Paterson University,NA,11048,0,0,0,NA,0,0,59,1,57,1,0
NEW MEXICO,Eastern New Mexico University,NA,5879,6,0,NA,3,0,3,40,5,35,0,NA
NEW MEXICO,New Mexico Institute of Mining and Technology,NA,2127,1,0,NA,0,0,1,59,6,49,4,NA
NEW MEXICO,New Mexico State University,NA,15829,13,0,NA,1,2,10,259,47,199,13,2
NEW MEXICO,University of New Mexico,NA,27844,38,0,NA,8,5,25,613,49,502,62,NA
NEW MEXICO,Western New Mexico University,NA,3557,4,0,NA,0,0,4,28,12,16,0,NA
NEW YORK,Cornell University,NA,21679,3,0,2,NA,0,1,272,21,250,1,0
NEW YORK,Ithaca College5,NA,6587,5,0,4,NA,1,0,108,13,95,0,0
NEW YORK,Rensselaer Polytechnic Institute,NA,6835,0,0,NA,0,0,0,40,0,40,0,0
NEW YORK,State University of New York:,Binghamton,16695,8,0,7,NA,1,0,225,12,213,0,0
NEW YORK,State University of New York:,Buffalo,29995,10,0,4,NA,1,5,304,38,265,1,1
NEW YORK,State University of New York:,Downstate Medical Center,1865,4,0,0,NA,0,4,57,0,57,0,0
NEW YORK,State University of New York:,Maritime College5,1799,0,0,0,NA,0,0,18,3,15,0,0
NEW YORK,State University of New York:,Stony Brook5,24607,10,0,1,NA,1,8,279,19,259,1,0
NEW YORK,State University of New York:,Upstate Medical Center,1516,0,0,0,NA,0,0,84,5,78,1,0
NEW YORK,State University of New York Agricultural and Technical College:,Alfred,3661,3,0,2,NA,0,1,52,7,44,1,0
NEW YORK,State University of New York Agricultural and Technical College:,Canton,3278,1,0,1,NA,0,0,31,1,29,1,0
NEW YORK,State University of New York Agricultural and Technical College:,Cobleskill,2535,5,0,3,NA,0,2,18,4,13,1,0
NEW YORK,State University of New York Agricultural and Technical College:,Farmingdale,8394,2,0,1,NA,0,1,31,2,29,0,0
NEW YORK,State University of New York Agricultural and Technical College:,Morrisville,2910,4,0,3,NA,1,0,42,11,31,0,0
NEW YORK,State University of New York College:,Brockport,8106,5,0,4,NA,0,1,43,2,41,0,0
NEW YORK,State University of New York College:,Buffalo,11083,14,0,3,NA,3,8,160,12,146,2,1
NEW YORK,State University of New York College:,Cortland,6958,3,0,2,NA,0,1,44,6,36,2,0
NEW YORK,State University of New York College:,Environmental Science and Forestry,2200,0,0,0,NA,0,0,25,0,25,0,0
NEW YORK,State University of New York College:,Fredonia,5215,1,0,1,NA,0,0,34,8,26,0,0
NEW YORK,State University of New York College:,Geneseo,5658,2,0,2,NA,0,0,84,10,71,3,0
NEW YORK,State University of New York College:,New Paltz,7692,1,0,1,NA,0,0,35,0,35,0,0
NEW YORK,State University of New York College:,Old Westbury,4504,1,0,0,NA,1,0,38,3,35,0,0
NEW YORK,State University of New York College:,Oneonta,6101,3,0,3,NA,0,0,40,3,36,1,0
NEW YORK,State University of New York College:,Optometry,363,0,0,0,NA,0,0,5,0,5,0,0
NEW YORK,State University of New York College:,Oswego,8034,4,0,4,NA,0,0,76,6,70,0,0
NEW YORK,State University of New York College:,Plattsburgh,5968,0,0,0,NA,0,0,70,2,68,0,0
NEW YORK,State University of New York College:,Potsdam,3979,2,0,2,NA,0,0,58,7,50,1,0
NEW YORK,State University of New York College:,Purchase,4225,1,0,1,NA,0,0,72,11,61,0,0
NEW YORK,State University of New York College:,Technology,3598,1,0,NA,0,0,1,38,5,33,0,0
NEW YORK,State University of New York College:,Utica-Rome,2740,1,0,1,NA,0,0,12,0,12,0,0
NORTH CAROLINA,Appalachian State University,NA,18026,3,0,NA,2,0,1,58,8,47,3,0
NORTH CAROLINA,Davidson College,NA,1770,3,0,NA,3,0,0,72,13,59,0,2
NORTH CAROLINA,Duke University,NA,15856,6,0,NA,2,4,0,371,17,345,9,1
NORTH CAROLINA,East Carolina University,NA,27511,11,0,NA,5,3,3,169,6,163,0,0
NORTH CAROLINA,Elizabeth City State University,NA,1867,1,0,NA,0,0,1,64,17,46,1,1
NORTH CAROLINA,Elon University,NA,6483,0,0,NA,0,0,0,10,0,10,0,0
NORTH CAROLINA,Fayetteville State University,NA,5899,7,0,NA,4,1,2,60,8,48,4,0
NORTH CAROLINA,Methodist University,NA,2461,2,0,NA,1,0,1,38,4,34,0,1
NORTH CAROLINA,North Carolina Agricultural and Technical State University,NA,10725,5,0,NA,3,0,2,115,16,97,2,0
NORTH CAROLINA,North Carolina Central University,NA,7687,15,0,NA,4,5,6,132,16,114,2,3
NORTH CAROLINA,North Carolina School of the Arts,NA,958,0,0,NA,0,0,0,19,8,11,0,0
NORTH CAROLINA,North Carolina State University,Raleigh,33989,14,0,NA,5,1,8,249,17,226,6,0
NORTH CAROLINA,University of North Carolina:,Asheville,3845,3,0,NA,2,1,0,20,0,19,1,0
NORTH CAROLINA,University of North Carolina:,Chapel Hill,29135,6,0,NA,2,4,0,260,20,219,21,0
NORTH CAROLINA,University of North Carolina:,Charlotte,27238,1,0,NA,0,0,1,133,10,122,1,1
NORTH CAROLINA,University of North Carolina:,Greensboro,18647,8,0,NA,4,0,4,116,4,111,1,1
NORTH CAROLINA,University of North Carolina:,Wilmington,14570,6,0,NA,4,1,1,231,6,224,1,0
NORTH CAROLINA,Wake Forest University,NA,7788,4,0,NA,3,1,0,138,23,109,6,0
NORTH CAROLINA,Western Carolina University,NA,10382,3,0,NA,3,0,0,73,16,56,1,0
NORTH CAROLINA,Winston-Salem State University,NA,5220,2,1,NA,0,1,0,68,12,54,2,0
NORTH DAKOTA,North Dakota State College of Science,NA,3033,0,0,0,NA,0,0,26,3,23,0,0
NORTH DAKOTA,North Dakota State University,NA,14747,1,0,1,NA,0,0,151,9,139,3,0
NORTH DAKOTA,University of North Dakota,NA,14906,3,0,2,NA,0,1,128,7,118,3,0
OHIO,Bowling Green State University,NA,16554,13,0,11,NA,0,2,16,6,10,0,2
OHIO,Capital University,NA,3494,2,0,2,NA,0,0,56,20,35,1,0
OHIO,Columbus State Community College,NA,24448,0,0,0,NA,0,0,68,0,67,1,0
OHIO,Cuyahoga Community College,NA,27084,4,0,1,NA,2,1,74,2,70,2,0
OHIO,Kent State University,NA,29477,6,0,NA,2,3,1,167,5,162,0,1
OHIO,Lakeland Community College,NA,8250,0,0,0,NA,0,0,32,0,32,0,0
OHIO,Miami University,NA,18620,17,0,7,NA,1,9,192,7,181,4,0
OHIO,Notre Dame College,NA,2281,2,0,1,NA,0,1,36,5,31,0,0
OHIO,Ohio State University,Columbus,58322,22,0,13,NA,4,5,793,17,771,5,0
OHIO,Ohio University,NA,29217,10,0,10,NA,0,0,174,15,157,2,2
OHIO,Otterbein University,NA,2791,0,0,0,NA,0,0,31,4,27,0,0
OHIO,Shawnee State University,NA,4247,1,0,NA,1,0,0,40,0,39,1,0
OHIO,Sinclair Community College,NA,19093,1,0,0,NA,1,0,56,0,56,0,0
OHIO,University of Akron,NA,23962,9,0,2,NA,3,4,192,7,177,8,1
OHIO,University of Cincinnati,NA,35313,5,0,NA,2,3,0,297,3,293,1,0
OHIO,University of Toledo,NA,20626,3,0,2,NA,0,1,215,20,193,2,2
OHIO,Wright State University,NA,16842,8,0,4,NA,3,1,105,15,86,4,0
OKLAHOMA,Cameron University,NA,5537,3,0,2,NA,0,1,8,0,8,0,0
OKLAHOMA,East Central University,NA,4428,0,0,0,NA,0,0,12,3,9,0,0
OKLAHOMA,Langston University,NA,2482,10,0,2,NA,3,5,118,66,46,6,1
OKLAHOMA,Northeastern Oklahoma A&M College,NA,2274,2,0,1,NA,1,0,50,17,31,2,2
OKLAHOMA,Northeastern State University:,Broken Arrow6,NA,0,0,0,NA,0,0,0,0,0,0,0
OKLAHOMA,Northeastern State University:,Tahlequah,8310,0,0,0,NA,0,0,0,0,0,0,0
OKLAHOMA,Oklahoma City University,NA,3035,1,0,0,NA,0,1,41,5,36,0,0
OKLAHOMA,Oklahoma State University:,Main Campus,25962,4,0,2,NA,2,0,229,48,176,5,0
OKLAHOMA,Oklahoma State University:,Okmulgee,3379,1,0,1,NA,0,0,11,0,10,1,0
OKLAHOMA,Oklahoma State University:,Tulsa,664,0,0,0,NA,0,0,2,0,2,0,0
OKLAHOMA,Rogers State University,NA,4030,0,0,0,NA,0,0,4,0,4,0,0
OKLAHOMA,Seminole State College,NA,1895,0,0,0,NA,0,0,6,2,4,0,0
OKLAHOMA,Southeastern Oklahoma State University,NA,3878,2,0,2,NA,0,0,17,3,14,0,0
OKLAHOMA,Southwestern Oklahoma State University,NA,4994,0,0,0,NA,0,0,10,0,10,0,0
OKLAHOMA,Tulsa Community College,NA,17861,0,0,0,NA,0,0,5,0,5,0,0
OKLAHOMA,University of Central Oklahoma,NA,16840,5,0,1,NA,0,4,79,10,69,0,0
OKLAHOMA,University of Oklahoma:,Health Sciences Center,3499,6,0,0,NA,3,3,154,5,146,3,0
OKLAHOMA,University of Oklahoma:,Norman,27261,7,0,4,NA,0,3,299,6,283,10,1
OREGON,University of Oregon,NA,24096,8,0,3,NA,3,2,314,11,297,6,8
PENNSYLVANIA,Bloomsburg University,NA,9998,4,0,3,NA,0,1,35,1,34,0,0
PENNSYLVANIA,California University,NA,7978,1,0,1,NA,0,0,29,1,28,0,0
PENNSYLVANIA,Cheyney University,NA,1022,8,0,5,NA,0,3,40,17,23,0,1
PENNSYLVANIA,Clarion University,NA,5712,4,0,3,NA,0,1,32,0,32,0,0
PENNSYLVANIA,Dickinson College,NA,2364,6,0,2,NA,0,4,105,10,94,1,0
PENNSYLVANIA,East Stroudsburg University,NA,6819,1,0,0,NA,0,1,53,0,53,0,0
PENNSYLVANIA,Edinboro University,NA,6837,4,0,3,NA,0,1,44,6,38,0,0
PENNSYLVANIA,Elizabethtown College,NA,1822,3,0,2,NA,0,1,18,1,17,0,0
PENNSYLVANIA,Indiana University,NA,14534,10,0,4,NA,3,3,57,3,54,0,1
PENNSYLVANIA,Kutztown University,NA,9218,6,0,3,NA,0,3,54,1,53,0,0
PENNSYLVANIA,Lehigh University,NA,7119,3,0,3,NA,0,0,26,0,26,0,0
PENNSYLVANIA,Lock Haven University,NA,4917,2,0,2,NA,0,0,25,8,17,0,0
PENNSYLVANIA,Mansfield University,NA,2752,0,0,0,NA,0,0,11,0,11,0,0
PENNSYLVANIA,Millersville University,NA,8047,2,1,0,NA,0,1,33,1,32,0,0
PENNSYLVANIA,Moravian College,NA,1970,4,0,0,NA,0,4,28,10,18,0,0
PENNSYLVANIA,Pennsylvania State University:,Altoona,3903,2,0,2,NA,0,0,40,6,34,0,1
PENNSYLVANIA,Pennsylvania State University:,Beaver,720,0,0,0,NA,0,0,4,0,4,0,1
PENNSYLVANIA,Pennsylvania State University:,Behrend,4138,3,0,1,NA,0,2,31,6,25,0,0
PENNSYLVANIA,Pennsylvania State University:,Berks,2839,1,0,1,NA,0,0,29,1,28,0,0
PENNSYLVANIA,Pennsylvania State University:,Brandywine,1488,0,0,0,NA,0,0,4,0,4,0,0
PENNSYLVANIA,Pennsylvania State University:,Harrisburg,4519,1,0,0,NA,0,1,14,0,14,0,0
PENNSYLVANIA,Pennsylvania State University:,Hazleton,850,1,0,1,NA,0,0,6,0,6,0,0
PENNSYLVANIA,Pennsylvania State University:,McKeesport,604,0,0,0,NA,0,0,6,0,6,0,0
PENNSYLVANIA,Pennsylvania State University:,Mont Alto,940,0,0,0,NA,0,0,3,0,3,0,0
PENNSYLVANIA,Pennsylvania State University:,Schuylkill,796,0,0,0,NA,0,0,11,5,6,0,0
PENNSYLVANIA,Pennsylvania State University:,University Park,47040,39,0,24,NA,2,13,428,38,388,2,6
PENNSYLVANIA,Shippensburg University,NA,7355,2,0,1,NA,0,1,36,5,30,1,1
PENNSYLVANIA,Slippery Rock University,NA,8495,1,0,0,NA,0,1,39,1,36,2,0
PENNSYLVANIA,University of Pittsburgh:,Bradford,1499,2,0,2,NA,0,0,17,4,13,0,0
PENNSYLVANIA,University of Pittsburgh:,Greensburg,1578,0,0,0,NA,0,0,3,0,3,0,0
PENNSYLVANIA,University of Pittsburgh:,Johnstown,2869,5,0,2,NA,1,2,33,1,31,1,0
PENNSYLVANIA,University of Pittsburgh:,Pittsburgh,28617,27,0,8,NA,2,17,221,10,210,1,0
PENNSYLVANIA,University of Pittsburgh:,Titusville,371,2,0,1,NA,0,1,7,0,7,0,0
PENNSYLVANIA,West Chester University,NA,16086,8,0,5,NA,1,2,67,6,61,0,0
RHODE ISLAND,Brown University,NA,9181,0,0,0,NA,0,0,117,10,107,0,0
RHODE ISLAND,University of Rhode Island,NA,16571,4,0,4,NA,0,0,93,13,79,1,0
SOUTH CAROLINA,Bob Jones University,NA,3108,0,0,0,NA,0,0,13,1,12,0,0
SOUTH CAROLINA,Clemson University,NA,21857,7,0,3,NA,0,4,244,13,179,52,1
SOUTH CAROLINA,Coastal Carolina University,NA,9976,14,0,5,NA,4,5,184,7,174,3,0
SOUTH CAROLINA,College of Charleston,NA,11456,0,0,0,NA,0,0,93,2,90,1,0
SOUTH CAROLINA,Columbia College,NA,1221,0,0,0,NA,0,0,9,2,6,1,0
SOUTH CAROLINA,Erskine College,NA,753,1,0,1,NA,0,0,8,6,2,0,0
SOUTH CAROLINA,Francis Marion University,NA,3944,0,0,0,NA,0,0,17,0,17,0,0
SOUTH CAROLINA,Greenville Technical College,NA,12592,2,0,0,NA,0,2,32,4,28,0,0
SOUTH CAROLINA,Lander University,NA,2787,1,0,1,NA,0,0,19,1,16,2,0
SOUTH CAROLINA,Medical University of South Carolina,NA,2898,4,0,3,NA,0,1,110,6,102,2,0
SOUTH CAROLINA,Midlands Technical College,NA,11424,1,0,0,NA,0,1,16,0,15,1,0
SOUTH CAROLINA,Orangeburg-Calhoun Technical College,NA,3060,0,0,0,NA,0,0,0,0,0,0,0
SOUTH CAROLINA,Presbyterian College,NA,1460,2,0,0,NA,0,2,21,2,18,1,1
SOUTH CAROLINA,South Carolina State University,NA,3331,5,0,0,NA,5,0,91,28,59,4,0
SOUTH CAROLINA,Spartanburg Methodist College,NA,793,1,0,0,NA,0,1,5,1,4,0,0
SOUTH CAROLINA,The Citadel,NA,3592,1,0,0,NA,1,0,12,4,8,0,0
SOUTH CAROLINA,Trident Technical College,NA,16136,0,0,0,NA,0,0,25,1,22,2,0
SOUTH CAROLINA,University of South Carolina:,Aiken,3444,1,0,0,NA,1,0,23,0,23,0,0
SOUTH CAROLINA,University of South Carolina:,Beaufort,1794,2,0,1,NA,0,1,8,2,6,0,0
SOUTH CAROLINA,University of South Carolina:,Columbia,32971,7,1,2,NA,2,2,285,12,232,41,0
SOUTH CAROLINA,University of South Carolina:,Upstate,5585,4,0,0,NA,0,4,26,1,25,0,0
SOUTH CAROLINA,Winthrop University,NA,6024,2,0,1,NA,1,0,35,7,28,0,0
SOUTH DAKOTA,South Dakota State University,NA,12543,0,0,0,NA,0,0,31,0,31,0,0
TENNESSEE,Austin Peay State University,NA,10111,6,0,4,NA,0,2,64,10,52,2,0
TENNESSEE,Chattanooga State Community College,NA,9332,2,0,0,NA,0,2,15,0,15,0,0
TENNESSEE,Christian Brothers University,NA,1667,2,0,0,NA,0,2,22,5,17,0,0
TENNESSEE,Cleveland State Community College,NA,3522,0,0,0,NA,0,0,10,1,9,0,0
TENNESSEE,East Tennessee State University,NA,14434,7,0,4,NA,1,2,72,7,65,0,2
TENNESSEE,Jackson State Community College,NA,4924,0,0,0,NA,0,0,0,0,0,0,0
TENNESSEE,Lincoln Memorial University,NA,3735,0,0,0,NA,0,0,0,0,0,0,0
TENNESSEE,Middle Tennessee State University,NA,22729,8,0,3,NA,3,2,166,19,147,0,0
TENNESSEE,Northeast State Community College,NA,5865,0,0,0,NA,0,0,4,0,4,0,0
TENNESSEE,Roane State Community College,NA,5832,0,0,0,NA,0,0,8,0,8,0,0
TENNESSEE,Southwest Tennessee Community College,NA,10227,3,0,1,NA,1,1,28,1,27,0,0
TENNESSEE,Tennessee State University,NA,9027,13,1,3,NA,5,4,54,16,36,2,1
TENNESSEE,Tennessee Technological University,NA,11339,3,0,1,NA,0,2,60,7,51,2,0
TENNESSEE,University of Memphis,NA,21059,3,0,1,NA,2,0,139,17,118,4,0
TENNESSEE,University of Tennessee:,Chattanooga,11670,9,0,7,NA,2,0,79,15,60,4,0
TENNESSEE,University of Tennessee:,Health Science Center6,NA,0,0,0,NA,0,0,30,2,28,0,0
TENNESSEE,University of Tennessee:,Knoxville,30386,5,0,2,NA,1,2,268,30,227,11,2
TENNESSEE,University of Tennessee:,Martin,7042,2,0,1,NA,0,1,32,5,27,0,0
TENNESSEE,University of the South,NA,1714,10,0,10,NA,0,0,76,21,54,1,2
TENNESSEE,Vanderbilt University,NA,12686,38,0,15,NA,4,19,394,7,385,2,0
TENNESSEE,Volunteer State Community College,NA,7664,0,0,0,NA,0,0,18,0,18,0,0
TENNESSEE,Walters State Community College,NA,6005,0,0,0,NA,0,0,8,0,7,1,0
TEXAS,Abilene Christian University,NA,4427,0,0,0,NA,0,0,67,5,62,0,0
TEXAS,Alamo Community College District,NA,55967,3,0,0,NA,1,2,204,32,166,6,3
TEXAS,Alvin Community College,NA,4837,0,0,0,NA,0,0,14,0,13,1,0
TEXAS,Amarillo College,NA,10336,0,0,0,NA,0,0,20,0,20,0,0
TEXAS,Angelo State University,NA,6494,2,0,1,NA,0,1,47,3,44,0,0
TEXAS,Austin College,NA,1301,1,0,0,NA,0,1,33,3,28,2,0
TEXAS,Baylor Health Care System6,NA,NA,3,0,2,NA,1,0,471,7,454,10,0
TEXAS,Baylor University,Waco,16263,11,0,3,NA,0,8,172,15,149,8,1
TEXAS,Brookhaven College,NA,12403,0,0,0,NA,0,0,24,1,22,1,0
TEXAS,Central Texas College,NA,20547,2,0,0,NA,0,2,16,0,16,0,0
TEXAS,College of the Mainland,NA,3858,0,0,0,NA,0,0,8,0,8,0,0
TEXAS,El Paso Community College,NA,28308,0,0,0,NA,0,0,46,0,45,1,0
TEXAS,Grayson College,NA,4636,0,0,0,NA,0,0,7,0,7,0,0
TEXAS,Hardin-Simmons University,NA,2084,1,0,0,NA,0,1,34,8,25,1,0
TEXAS,Houston Baptist University,NA,3128,3,0,1,NA,1,1,45,13,32,0,0
TEXAS,Houston Community College,NA,58276,9,0,2,NA,5,2,164,20,133,11,0
TEXAS,Lamar University,Beaumont,14895,8,0,1,NA,2,5,74,5,65,4,0
TEXAS,Laredo Community College,NA,8307,3,0,0,NA,0,3,11,1,10,0,0
TEXAS,McLennan Community College,NA,8294,0,0,0,NA,0,0,12,0,12,0,0
TEXAS,Midwestern State University,NA,5874,3,0,1,NA,1,1,60,18,42,0,0
TEXAS,Mountain View College,NA,8950,1,0,0,NA,0,1,15,0,13,2,0
TEXAS,North Lake College,NA,10744,1,0,0,NA,0,1,19,2,17,0,0
TEXAS,Paris Junior College,NA,5086,1,0,1,NA,0,0,15,3,12,0,0
TEXAS,Rice University,NA,6621,4,0,0,NA,3,1,206,8,194,4,0
TEXAS,Richland College,NA,19343,1,0,0,NA,1,0,28,0,25,3,0
TEXAS,Southern Methodist University,NA,11272,4,0,3,NA,0,1,154,2,152,0,0
TEXAS,Southwestern University,NA,1538,0,0,0,NA,0,0,34,11,16,7,0
TEXAS,Stephen F. Austin State University,NA,12801,2,0,2,NA,0,0,56,3,52,1,0
TEXAS,St. Mary's University,NA,3712,1,0,1,NA,0,0,18,2,14,2,0
TEXAS,Sul Ross State University,NA,2873,0,0,0,NA,0,0,57,10,47,0,0
TEXAS,Tarleton State University,NA,11681,2,0,2,NA,0,0,83,10,72,1,0
TEXAS,Texas A&M International University,NA,7554,5,0,5,NA,0,0,36,6,28,2,0
TEXAS,Texas A&M University:,Central Texas6,NA,0,0,0,NA,0,0,7,3,4,0,0
TEXAS,Texas A&M University:,College Station,61642,4,0,3,NA,0,1,488,28,448,12,0
TEXAS,Texas A&M University:,Commerce,12111,6,0,5,NA,1,0,85,12,72,1,1
TEXAS,Texas A&M University:,Corpus Christi,11256,3,0,1,NA,0,2,63,5,54,4,0
TEXAS,Texas A&M University:,Galveston6,NA,1,0,0,NA,0,1,11,0,11,0,0
TEXAS,Texas A&M University:,Kingsville,13246,0,0,0,NA,0,0,98,31,67,0,0
TEXAS,Texas A&M University:,San Antonio6,NA,0,0,0,NA,0,0,8,1,6,1,0
TEXAS,Texas Christian University,NA,10033,8,0,5,NA,1,2,131,9,120,2,0
TEXAS,Texas Southern University,NA,9233,12,2,1,NA,4,5,220,49,168,3,6
TEXAS,Texas State Technical College:,Harlingen,5225,2,0,1,NA,0,1,15,0,15,0,0
TEXAS,Texas State Technical College:,Waco,4114,5,0,3,NA,0,2,74,32,42,0,0
TEXAS,Texas State Technical College:,West Texas,1453,0,0,0,NA,0,0,2,1,1,0,0
TEXAS,Texas State University,San Marcos,36739,9,0,0,NA,6,3,217,20,193,4,0
TEXAS,Texas Tech University,Lubbock,35158,7,0,5,NA,1,1,403,12,390,1,0
TEXAS,Texas Woman's University,NA,15071,3,0,1,NA,0,2,49,3,46,0,0
TEXAS,Tyler Junior College,NA,11168,2,0,1,NA,0,1,50,4,46,0,0
TEXAS,University of Houston:,Central Campus,40914,21,0,4,NA,11,6,498,42,433,23,0
TEXAS,University of Houston:,Clearlake,8665,0,0,0,NA,0,0,19,1,18,0,0
TEXAS,University of Houston:,Downtown Campus,14439,2,0,0,NA,1,1,46,2,42,2,0
TEXAS,University of Mary Hardin-Baylor,NA,3740,1,0,0,NA,0,1,65,2,60,3,0
TEXAS,University of North Texas:,Denton,36486,5,0,2,NA,0,3,171,16,153,2,3
TEXAS,University of North Texas:,Health Science Center,2243,0,0,0,NA,0,0,10,0,10,0,0
TEXAS,University of Texas:,Arlington,39740,5,0,1,NA,2,2,148,8,140,0,0
TEXAS,University of Texas:,Austin,51313,6,0,2,NA,2,2,397,36,354,7,0
TEXAS,University of Texas:,Dallas,23095,3,0,2,NA,0,1,151,4,145,2,0
TEXAS,University of Texas:,El Paso,23079,11,0,1,NA,0,10,146,27,117,2,0
TEXAS,University of Texas:,"Health Science Center, San Antonio",3147,4,0,1,NA,1,2,60,2,56,2,0
TEXAS,University of Texas:,"Health Science Center, Tyler6",NA,0,0,0,NA,0,0,11,1,9,1,0
TEXAS,University of Texas:,Houston,4859,21,0,3,NA,5,13,311,21,288,2,1
TEXAS,University of Texas:,Medical Branch,3211,0,0,0,NA,0,0,114,0,109,5,0
TEXAS,University of Texas:,Permian Basin,5560,0,0,0,NA,0,0,22,7,12,3,0
TEXAS,University of Texas:,San Antonio,28628,4,0,3,NA,1,0,128,6,115,7,0
TEXAS,University of Texas:,Southwestern Medical School,2341,4,0,0,NA,1,3,130,17,109,4,0
TEXAS,University of Texas:,Tyler,8036,0,0,0,NA,0,0,42,9,32,1,0
TEXAS,West Texas A&M University,NA,8972,3,0,3,NA,0,0,71,21,49,1,0
UTAH,Brigham Young University,NA,30484,1,0,1,NA,0,0,148,9,135,4,0
UTAH,Snow College,NA,4779,1,0,NA,0,0,1,18,1,15,2,0
UTAH,Southern Utah University,NA,7656,1,0,1,NA,0,0,27,7,19,1,1
UTAH,University of Utah,NA,31515,12,0,NA,4,0,8,506,42,435,29,1
UTAH,Utah State University,Eastern6,NA,0,0,NA,0,0,0,47,2,45,0,0
UTAH,Utah Valley University,NA,31332,1,0,NA,0,1,0,76,5,69,2,0
UTAH,Weber State University,NA,25954,1,0,NA,0,0,1,55,4,50,1,0
VERMONT,University of Vermont,NA,12856,3,0,2,NA,0,1,176,15,161,0,2
VIRGINIA,Bridgewater College,NA,1785,0,0,0,NA,0,0,15,4,10,1,0
VIRGINIA,Christopher Newport University,NA,5221,3,0,1,NA,0,2,152,4,146,2,0
VIRGINIA,College of William and Mary,NA,8437,3,0,3,NA,0,0,167,10,156,1,0
VIRGINIA,Eastern Virginia Medical School,NA,1049,0,0,0,NA,0,0,28,1,27,0,0
VIRGINIA,Emory and Henry College,NA,1038,0,0,0,NA,0,0,0,0,0,0,0
VIRGINIA,Ferrum College,NA,1451,2,0,0,NA,0,2,17,1,16,0,0
VIRGINIA,George Mason University,NA,33729,8,0,4,NA,2,2,148,7,139,2,3
VIRGINIA,Hampton University,NA,4393,2,0,1,NA,1,0,50,14,36,0,0
VIRGINIA,James Madison University,NA,20855,2,0,0,NA,1,1,110,10,98,2,1
VIRGINIA,J. Sargeant Reynolds Community College,NA,11861,1,0,0,NA,0,1,27,0,27,0,0
VIRGINIA,Longwood University,NA,5096,6,0,5,NA,0,1,47,8,38,1,0
VIRGINIA,Lord Fairfax Community College,NA,6996,0,0,0,NA,0,0,0,0,0,0,0
